epoch,train_loss,val_loss
1,0.10131026614485807,0.09674833860339188
2,0.09269048527224373,0.09567313877547659
3,0.09032091736111023,0.09087587175209348
4,0.08909333873796099,0.09182368496024026
5,0.08770273228865544,0.08997093981540785
6,0.08701532928998233,0.09062761899719878
7,0.08628230412270277,0.08853356226733546
8,0.08578725052243881,0.08832972951051665
9,0.08560275397910416,0.0889651988882844
10,0.08492992195009275,0.08724359332061396
11,0.08444334773616936,0.08631367218203662
12,0.08413467465238716,0.08673336311447911
13,0.08373871537792774,0.086524993226659
14,0.08336445016942862,0.08672258121574797
15,0.08333384523182424,0.08580232407079964
16,0.08274771427835217,0.08536108174338573
17,0.0826256659080964,0.08576588605235262
18,0.08212281011670601,0.0854368904014913
19,0.08223006761711063,0.085661466074426
20,0.08233975773776761,0.08689387642392297
21,0.08196026550904485,0.08486619201011775
22,0.08178301633314322,0.08436658601390153
23,0.08125568508874369,0.08381193989842403
24,0.08163952888878247,0.08464199931519788
25,0.08101363450516272,0.08452645116826384
26,0.08125041306928824,0.08436247261195648
27,0.08126939233705288,0.08414953442790159
28,0.08099448401054353,0.08366318387774432
29,0.08088017531478678,0.08335118513645196
30,0.08047675998838803,0.08351318978863519
31,0.08068542838779115,0.08379086883874928
32,0.0803925272162634,0.08333122825658903
33,0.08022281046359593,0.08345888595937229
34,0.08016582092711033,0.08342183662987337
35,0.08030972460299048,0.08324315435275799
36,0.08005739805352596,0.08326044964899378
37,0.0800274317728654,0.0833612621830004
38,0.07968796129900081,0.08275364534702243
39,0.08001640404908712,0.08262809229696669
40,0.07986533256204983,0.08293883434337813
41,0.07994865879757714,0.08276991164538919
42,0.07968028845222852,0.08269934342583506
43,0.07948203735224163,0.08269990767102416
44,0.0798314628824023,0.08278730484407122
