--- Starting MAE Training (120 Epochs max) ---
MAE Epoch 64/120 | Train Loss: 0.0754 | Val Loss: 0.0746 | LR: 1.41e-05
MAE Epoch 65/120 | Train Loss: 0.0755 | Val Loss: 0.0746 | LR: 1.37e-05
MAE Epoch 66/120 | Train Loss: 0.0754 | Val Loss: 0.0745 | LR: 1.33e-05
MAE Epoch 67/120 | Train Loss: 0.0753 | Val Loss: 0.0746 | LR: 1.29e-05
MAE Epoch 68/120 | Train Loss: 0.0753 | Val Loss: 0.0746 | LR: 1.25e-05
MAE Epoch 69/120 | Train Loss: 0.0752 | Val Loss: 0.0746 | LR: 1.21e-05
MAE Epoch 70/120 | Train Loss: 0.0753 | Val Loss: 0.0745 | LR: 1.17e-05
MAE Epoch 71/120 | Train Loss: 0.0752 | Val Loss: 0.0745 | LR: 1.13e-05
MAE Epoch 72/120 | Train Loss: 0.0752 | Val Loss: 0.0745 | LR: 1.09e-05
MAE Epoch 73/120 | Train Loss: 0.0752 | Val Loss: 0.0745 | LR: 1.05e-05
MAE Epoch 74/120 | Train Loss: 0.0752 | Val Loss: 0.0745 | LR: 1.01e-05
MAE Epoch 75/120 | Train Loss: 0.0751 | Val Loss: 0.0745 | LR: 9.77e-06
MAE Epoch 76/120 | Train Loss: 0.0751 | Val Loss: 0.0746 | LR: 9.39e-06
MAE Epoch 77/120 | Train Loss: 0.0751 | Val Loss: 0.0744 | LR: 9.02e-06
MAE Epoch 78/120 | Train Loss: 0.0750 | Val Loss: 0.0743 | LR: 8.65e-06
MAE Epoch 79/120 | Train Loss: 0.0750 | Val Loss: 0.0744 | LR: 8.28e-06
MAE Epoch 80/120 | Train Loss: 0.0750 | Val Loss: 0.0742 | LR: 7.92e-06
MAE Epoch 81/120 | Train Loss: 0.0750 | Val Loss: 0.0742 | LR: 7.57e-06
MAE Epoch 82/120 | Train Loss: 0.0750 | Val Loss: 0.0743 | LR: 7.22e-06
MAE Epoch 83/120 | Train Loss: 0.0749 | Val Loss: 0.0742 | LR: 6.88e-06
MAE Epoch 84/120 | Train Loss: 0.0749 | Val Loss: 0.0743 | LR: 6.54e-06
MAE Epoch 85/120 | Train Loss: 0.0748 | Val Loss: 0.0743 | LR: 6.21e-06
MAE Epoch 86/120 | Train Loss: 0.0749 | Val Loss: 0.0743 | LR: 5.88e-06
MAE Epoch 87/120 | Train Loss: 0.0748 | Val Loss: 0.0742 | LR: 5.57e-06
